646,488
645,487
644,487
643,486
642,485
641,485
640,484
639,483
638,483
637,482
636,481
635,481
634,480
633,479
632,479
631,478
630,477
629,477
628,476
628,475
627,475
626,474
625,473
624,473
623,472
622,471
621,471
620,470
619,469
618,468
617,468
616,467
615,467
614,466
613,465
612,465
611,464
610,463
610,462
609,462
608,461
607,461
606,460
605,459
604,458
603,458
602,457
601,457
600,456
599,455
598,454
597,454
596,453
595,452
595,452
594,451
593,450
592,450
591,449
590,448
589,448
588,447
587,446
586,446
585,445
584,444
583,444
582,443
581,442
580,442
579,441
578,440
577,440
577,439
576,438
575,438
574,437
573,436
572,436
571,435
570,434
569,434
568,433
567,432
566,432
565,431
564,430
563,430
563,429
561,428
561,428
560,427
559,426
558,426
557,425
556,424
555,424
554,423
553,422
552,422
551,421
550,420
549,419
548,419
547,418
546,418
545,417
544,416
544,415
543,415
542,414
541,413
540,413
539,412
538,411
537,411
536,410
535,409
534,409
533,408
532,407
531,407
530,406
529,405
528,405
528,404
527,403
526,403
525,402
524,401
523,401
522,400
521,400
520,399
519,398
518,398
517,397
516,396
515,395
514,395
513,394
512,394
511,393
510,392
509,392
508,391
508,390
507,390
506,389
505,388
504,388
503,387
502,386
501,386
500,385
499,385
498,384
497,383
496,383
495,382
494,381
493,381
492,380
491,380
490,379
489,379
488,378
487,377
486,377
485,377
484,376
482,376
481,375
480,375
479,375
478,374
477,374
476,374
475,374
473,375
472,375
471,375
470,376
469,376
468,377
467,378
466,378
466,379
465,380
464,381
463,382
463,383
462,384
462,385
461,386
460,386
460,387
460,388
460,389
460,390
460,392
460,393
460,394
460,395
460,396
459,397
459,399
460,400
461,401
461,402
461,403
462,404
462,405
462,406
463,407
463,408
463,409
464,411
464,412
464,413
465,414
465,415
466,416
466,417
466,418
467,419
467,421
467,422
468,423
468,424
469,425
469,426
469,427
470,428
470,429
471,430
471,432
471,433
472,434
472,435
473,436
473,437
473,438
474,439
474,440
475,441
475,442
476,443
476,445
476,446
477,447
477,448
478,449
478,450
479,451
479,452
479,453
480,454
480,455
481,456
481,458
482,459
482,460
483,461
483,462
483,463
484,464
484,465
485,466
485,467
486,468
486,469
487,470
487,472
487,473
488,474
488,475
489,476
489,477
490,478
490,479
491,480
491,481
492,482
492,483
493,484
493,486
494,487
494,488
495,489
495,490
496,491
496,492
497,493
497,494
498,495
498,496
499,497
499,498
500,499
501,500
501,501
502,502
502,503
503,504
503,505
504,506
505,507
505,508
506,509
506,510
507,511
507,512
508,513
509,514
509,515
510,516
511,517
511,518
512,519
512,520
513,521
514,522
514,523
515,524
516,525
516,526
517,527
518,528
518,529
519,530
520,531
520,532
521,532
522,533
522,534
523,535
524,536
525,537
525,538
526,539
527,540
527,541
528,542
529,543
530,544
530,544
531,545
532,546
533,547
533,548
534,549
535,550
536,551
536,552
537,552
538,553
539,554
539,555
540,556
541,557
542,558
543,559
543,559
544,560
545,561
546,562
547,563
547,564
548,565
549,565
550,566
551,567
551,568
552,569
553,570
554,570
555,571
555,572
556,573
557,574
558,575
559,576
559,576
560,577
561,578
562,579
563,580
563,581
564,581
565,582
566,583
567,584
567,585
568,586
569,586
570,587
571,588
572,589
572,590
573,591
574,591
575,592
576,593
576,594
577,595
578,596
579,596
580,597
580,598
581,599
582,600
583,601
584,602
585,602
585,603
586,604
587,605
588,606
589,607
589,607
590,608
591,609
592,610
593,611
593,612
594,612
595,613
596,614
597,615
598,616
598,617
599,617
600,618
601,619
602,620
602,621
603,622
604,622
605,623
606,624
606,625
607,626
608,627
609,628
610,628
610,629
611,630
612,631
613,632
614,633
614,633
615,634
616,635
617,636
618,637
618,638
619,639
620,639
621,640
622,641
622,642
623,643
624,644
625,645
625,646
626,646
627,647
628,648
629,649
629,650
630,651
631,652
632,653
632,653
633,654
634,655
635,656
635,657
636,658
637,659
638,660
638,661
639,662
640,663
640,664
641,665
642,665
642,666
643,667
643,669
644,670
644,671
645,672
645,673
646,674
646,675
647,676
647,677
648,678
648,679
649,680
650,681
650,682
651,683
651,684
652,686
653,687
653,688
654,688
654,689
655,690
656,691
657,692
657,693
658,694
659,695
659,696
660,697
661,697
662,698
663,699
663,700
664,701
665,701
666,702
667,703
668,704
669,704
669,705
670,706
671,706
672,707
673,708
674,708
675,709
676,709
677,710
678,711
679,711
680,712
681,712
682,713
683,713
684,714
685,714
686,715
687,715
689,716
690,716
691,717
692,717
693,717
694,718
695,718
696,718
698,719
699,719
700,720
701,720
702,720
703,721
704,721
705,721
707,722
708,722
709,722
710,723
711,723
712,723
713,724
714,724
715,724
717,725
718,725
719,726
720,726
